rowid_test,type,feature,value,approach,dataset_name,syn_name,run_model,model_name,timestamp
5161,real,parents,0.0757377789738849,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5165,real,parents,0.067837175957387,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5168,real,parents,0.0663347784130029,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5170,real,parents,0.0709298547837562,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5178,real,parents,0.0829136972745645,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5179,real,parents,0.073286779226097,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
5186,real,parents,0.110048423977184,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6256,real,parents,-0.0663519194985447,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6482,real,parents,0.0980403748277269,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6496,real,parents,0.115793051508955,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6497,real,parents,0.112466474162552,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6511,real,parents,0.112905914344503,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6514,real,parents,0.126356744360388,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6627,real,parents,0.0942223786715835,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6629,real,parents,0.102867469577537,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6631,real,parents,0.0887840369990328,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6637,real,parents,0.0659056703283537,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6641,real,parents,0.0692790593718961,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6642,real,parents,0.0971944501530981,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6647,real,parents,0.102368390265737,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6648,real,parents,0.0770425419813946,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6654,real,parents,0.067790291649334,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6713,real,parents,0.0656790549392038,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6764,real,parents,0.0703396062110676,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6819,real,parents,0.0697360729617448,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6874,real,parents,0.102152089212605,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6889,real,parents,0.0540348007517395,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6942,real,parents,0.0709991993240803,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
6959,real,parents,0.0558292083266915,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7017,real,parents,0.112928119195244,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7144,real,parents,0.0773982215304118,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7145,real,parents,0.0938043334217241,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7164,real,parents,0.0901298375794527,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7209,real,parents,0.0901940036359982,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7270,real,parents,0.0801636098305106,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7535,real,parents,0.0862200270777762,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7552,real,parents,0.066962086658714,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7553,real,parents,0.0566027079518067,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7571,real,parents,0.0621294300984309,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7665,real,parents,0.0714674236269938,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7670,real,parents,0.0502477624881142,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7680,real,parents,0.0612052559571369,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7691,real,parents,0.0429142327791624,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7695,real,parents,0.0611762187793498,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
7750,real,parents,0.0508985823650008,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
8,syn,parents,-0.0847629927171503,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
61,syn,parents,0.0293287652290225,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
99,syn,parents,-0.0684019636906236,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
184,syn,parents,-0.120404736758504,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
311,syn,parents,-0.00143347974204199,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
327,syn,parents,-0.0977321437737121,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
382,syn,parents,-0.0810137807410557,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
410,syn,parents,-0.112136885067718,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
454,syn,parents,-0.131053882647863,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
502,syn,parents,-0.0853110269686263,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
561,syn,parents,-0.103807070751112,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
571,syn,parents,-0.120260918525852,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
595,syn,parents,0.00827552805224172,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
598,syn,parents,-0.101958048477422,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
763,syn,parents,-0.105251884925568,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
796,syn,parents,-0.094290963029084,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
818,syn,parents,-0.103811928481939,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
901,syn,parents,-0.106551916076025,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
937,syn,parents,-0.0775259781896267,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
948,syn,parents,-0.106997146237066,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1084,syn,parents,-0.106997146237066,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
1104,syn,parents,-0.0923488080152631,independence,nursery,CTGAN,8,xgboost,2025-02-25 11:04:36
